feature,coefficient,absolute_coefficient
categorical__PULocationID_140,-0.20586280347905156,0.20586280347905156
categorical__PULocationID_75,0.20445668966876024,0.20445668966876024
categorical__PULocationID_130,0.2041884270742565,0.2041884270742565
categorical__pickup_hour_15,0.20417813004061122,0.20417813004061122
categorical__PULocationID_144,-0.1970160894839943,0.1970160894839943
categorical__pickup_hour_1,-0.1960034110080439,0.1960034110080439
categorical__PULocationID_51,0.19544847438230287,0.19544847438230287
categorical__DOLocationID_61,-0.19324936345017815,0.19324936345017815
categorical__DOLocationID_45,-0.17412870243376166,0.17412870243376166
categorical__PULocationID_17,-0.17270883996584366,0.17270883996584366
categorical__PULocationID_68,-0.17100694254240362,0.17100694254240362
categorical__PULocationID_107,-0.16971916518635827,0.16971916518635827
categorical__PULocationID_33,0.16963289822104657,0.16963289822104657
categorical__PULocationID_210,0.16617009626769386,0.16617009626769386
categorical__PULocationID_230,0.16491475738846087,0.16491475738846087
categorical__PULocationID_162,-0.16173253127606835,0.16173253127606835
categorical__PULocationID_87,-0.16101754446046251,0.16101754446046251
categorical__PULocationID_138,0.15546018854972743,0.15546018854972743
categorical__pickup_hour_21,-0.1526923476241876,0.1526923476241876
categorical__DOLocationID_100,-0.15068793460024968,0.15068793460024968
categorical__DOLocationID_244,0.1488391398975178,0.1488391398975178
categorical__DOLocationID_86,0.14855182374585835,0.14855182374585835
categorical__PULocationID_159,0.14853010684290902,0.14853010684290902
categorical__PULocationID_91,0.14826910471547095,0.14826910471547095
categorical__PULocationID_161,-0.13957117089710888,0.13957117089710888
categorical__PULocationID_226,0.13954935258260687,0.13954935258260687
categorical__PULocationID_142,-0.13717333917549887,0.13717333917549887
categorical__PULocationID_170,-0.1371656342043388,0.1371656342043388
categorical__pickup_hour_16,0.13600051095460344,0.13600051095460344
categorical__DOLocationID_132,0.1354877301290629,0.1354877301290629
categorical__PULocationID_89,0.13199897328654306,0.13199897328654306
categorical__pickup_hour_23,-0.1306792407462858,0.1306792407462858
categorical__PULocationID_48,0.12597625577925445,0.12597625577925445
numeric__fare_amount,-0.1240948538479972,0.1240948538479972
numeric__trip_distance,-0.11769096852021592,0.11769096852021592
numeric__Airport_fee,-0.11649890365521877,0.11649890365521877
categorical__PULocationID_97,0.11520168844834094,0.11520168844834094
categorical__PULocationID_69,0.11458943316384713,0.11458943316384713
categorical__PULocationID_129,-0.11322630088246068,0.11322630088246068
categorical__PULocationID_209,0.11320587340143022,0.11320587340143022
categorical__PULocationID_188,0.10977652317818036,0.10977652317818036
categorical__PULocationID_4,-0.10974957841046835,0.10974957841046835
categorical__pickup_hour_8,-0.10963393961493985,0.10963393961493985
categorical__DOLocationID_42,-0.10888412898252565,0.10888412898252565
categorical__DOLocationID_116,-0.10331656262760806,0.10331656262760806
categorical__DOLocationID_225,-0.10295439666798568,0.10295439666798568
categorical__DOLocationID_74,-0.09983672097806122,0.09983672097806122
categorical__DOLocationID_133,-0.09844437997927002,0.09844437997927002
numeric__cbd_congestion_fee,-0.09252262734028549,0.09252262734028549
categorical__PULocationID_24,-0.09224181778853345,0.09224181778853345
categorical__pickup_hour_20,-0.09019475825489422,0.09019475825489422
categorical__PULocationID_186,-0.0897036570319678,0.0897036570319678
categorical__PULocationID_233,-0.08912577430849493,0.08912577430849493
categorical__is_weekend_1,0.08904656581935806,0.08904656581935806
categorical__PULocationID_50,0.08834750882193713,0.08834750882193713
categorical__DOLocationID_230,-0.08367414240462936,0.08367414240462936
categorical__PULocationID_151,-0.07905179589060765,0.07905179589060765
numeric__congestion_surcharge,-0.07882060676380878,0.07882060676380878
categorical__PULocationID_165,0.07795032173404577,0.07795032173404577
categorical__is_weekend_0,0.07792553067035972,0.07792553067035972
categorical__PULocationID_137,0.07749107648282096,0.07749107648282096
numeric__passenger_count,0.07646856168839757,0.07646856168839757
categorical__pickup_hour_9,0.07638954559101492,0.07638954559101492
categorical__DOLocationID_17,0.07483612161103517,0.07483612161103517
categorical__DOLocationID_223,0.07413184790429393,0.07413184790429393
categorical__pickup_hour_7,-0.07211397549856027,0.07211397549856027
categorical__PULocationID_163,-0.07198267962089344,0.07198267962089344
categorical__pickup_dayofweek_4,0.07169856527524032,0.07169856527524032
categorical__PULocationID_225,0.07042005716306773,0.07042005716306773
categorical__pickup_hour_19,-0.06984749955472182,0.06984749955472182
categorical__DOLocationID_7,0.06450563603728837,0.06450563603728837
categorical__pickup_hour_5,0.06425121213575148,0.06425121213575148
categorical__PULocationID_232,-0.06273073614739264,0.06273073614739264
categorical__PULocationID_166,-0.05772604949089777,0.05772604949089777
categorical__pickup_hour_18,-0.05697127422976111,0.05697127422976111
categorical__DOLocationID_232,-0.05529969054982934,0.05529969054982934
categorical__pickup_dayofweek_0,0.05501830456764446,0.05501830456764446
categorical__DOLocationID_127,-0.05460450797906391,0.05460450797906391
categorical__PULocationID_66,0.05404141719362543,0.05404141719362543
categorical__PULocationID_72,-0.0536329614537318,0.0536329614537318
categorical__PULocationID_229,-0.05294757023374723,0.05294757023374723
categorical__PULocationID_213,0.05255398583816858,0.05255398583816858
categorical__PULocationID_132,0.05115197170303416,0.05115197170303416
categorical__DOLocationID_228,0.050741059016756254,0.050741059016756254
categorical__PULocationID_39,-0.04870199683524351,0.04870199683524351
categorical__PULocationID_222,-0.04812050142174854,0.04812050142174854
categorical__pickup_dayofweek_5,0.046505201222086644,0.046505201222086644
categorical__PULocationID_164,-0.04377239034809006,0.04377239034809006
categorical__PULocationID_177,-0.04314204256275892,0.04314204256275892
categorical__pickup_dayofweek_6,0.04254136459748849,0.04254136459748849
categorical__PULocationID_155,-0.04204877695410944,0.04204877695410944
categorical__PULocationID_55,-0.03677366660225735,0.03677366660225735
categorical__PULocationID_35,0.03672106410074281,0.03672106410074281
categorical__pickup_hour_4,-0.036534912405975374,0.036534912405975374
numeric__is_early_morning,0.033043592299649524,0.033043592299649524
numeric__extra,-0.031196761883830106,0.031196761883830106
categorical__PULocationID_88,0.026624662209655453,0.026624662209655453
numeric__mta_tax,-0.025963508342817507,0.025963508342817507
categorical__DOLocationID_117,-0.024651331297945264,0.024651331297945264
categorical__pickup_dayofweek_2,-0.02180694022298602,0.02180694022298602
categorical__PULocationID_14,0.02162999395070396,0.02162999395070396
